Designator,MPN,Qty,Link
"12VFAN,BMAX,BMIN,CHERRY,GFP,LAS1,LAS2,LAS3,LMAX,LMIN,RGTMAX,RGTMIN,TMAX,TMIN,UV,WHITE",B2B-XH-A(LF)(SN),16,https://www.digikey.com/en/products/detail/jst-sales-america-inc/B2B-XH-A-LF-SN/1651045?utm_adgroup=Connectors%20%26%20Interconnects&utm_source=google&utm_medium=cpc&utm_campaign=Dynamic%20Search_EN_Product&utm_term=&utm_content=Connectors%20%26%20Interconnects&gclid=CjwKCAjwopWSBhB6EiwAjxmqDTu0ujhT14yfhc2CnK_8WC89RuaSEJbWNDqIzfDFUpzFFIFpeNDrSRoCEeUQAvD_BwE
"BOT,LEFT,RIGHT,TOP",B8B-XH-A(LF)(SN),4,https://www.digikey.com/en/products/detail/jst-sales-america-inc/B8B-XH-A-LF-SN/1651049
TEMPSENS,B3B-XH-A(LF)(SN),1,https://www.digikey.com/en/products/detail/jst-sales-america-inc/B3B-XH-A-LF-SN/1651046
ARDUINO_MEGA_R3FULL,9-146281-0,1,https://www.mouser.com/ProductDetail/TE-Connectivity/9-146281-0?qs=g1eCW3XhYQIsZIptNyGTEA%3D%3D
ESTOP,TB003-500-P02BE,1,https://www.digikey.com/en/products/detail/cui-devices/TB003-500-P02BE/10064085?utm_adgroup=Connectors%20%26%20Interconnects&utm_source=google&utm_medium=cpc&utm_campaign=Dynamic%20Search_EN_Product&utm_term=&utm_content=Connectors%20%26%20Interconnects&gclid=CjwKCAjwxZqSBhAHEiwASr9n9E1Drmi5gr2pIGWtOA7MQW9NLO9LyTJZIWtHZcO_phPxi5ZVdAI9-xoCtxEQAvD_BwE
IC1,L7805CV-DG,1,https://www.digikey.com/en/products/detail/stmicroelectronics/L7805CV-DG/2832888?utm_adgroup=STMicroelectronics&utm_source=google&utm_medium=cpc&utm_campaign=Dynamic%20Search_EN_Focus%20Suppliers&utm_term=&utm_content=STMicroelectronics&gclid=CjwKCAjwopWSBhB6EiwAjxmqDcO6Gqiaz2cn3C3lBUypD1BR1JyUU0d-jx9tOYhsaDDUctr7D-ctyRoCXAYQAvD_BwE
"IC2,IC3,IC4",AQY282EH,3,https://www.digikey.com/en/products/detail/panasonic-electric-works/AQY282EH/646349?utm_adgroup=Relays&utm_source=google&utm_medium=cpc&utm_campaign=Dynamic%20Search_EN_Product&utm_term=&utm_content=Relays&gclid=CjwKCAjwopWSBhB6EiwAjxmqDSLiKZEGAMKNKK1pWteNTCj7Z9Otvkppcfg0ff2l5KrL6LFaplILZRoCzAUQAvD_BwE
J1,PJ-082BH,1,https://www.digikey.com/en/products/detail/cui-devices/PJ-082BH/3477156?utm_adgroup=Connectors%20%26%20Interconnects&utm_source=google&utm_medium=cpc&utm_campaign=Dynamic%20Search_EN_Product&utm_term=&utm_content=Connectors%20%26%20Interconnects&gclid=CjwKCAjwopWSBhB6EiwAjxmqDZL8P6RESJhQuo_hAv5YyzGfungpboSZRIeIwfmZ8VI9BUlWZLF4WxoCWRcQAvD_BwE
"Q1,Q2,Q3,Q4",IRFZ44NPBF,4,https://www.mouser.com/ProductDetail/Infineon-IR/IRFZ44NPBF?qs=9%252BKlkBgLFf24zghzPg2f9g%3D%3D&mgh=1&gclid=CjwKCAjwxZqSBhAHEiwASr9n9ExzH6Ta8fmeoBuLWavqMZdco71Gt5WkWHDYtNXqvi4EqH2y8blJoBoCJTEQAvD_BwE
R1,MBA02040Z0000ZRP00,1,https://www.mouser.com/ProductDetail/Vishay-BC-Components/MBA02040Z0000ZRP00?qs=RlDpP5aUYW1osO5%2FA9THeg%3D%3D
"R2,R3,R4",RSF100JT-73-100R,3,https://www.mouser.com/ProductDetail/YAGEO/RSF100JT-73-100R?qs=sGAEpiMZZMtlubZbdhIBICpsWpAXTDjZQh1H2nSEJDk%3D
"R5,R6,R7",PR01000102201JR500,3,https://www.mouser.com/ProductDetail/Vishay-BC-Components/PR01000102201JR500?qs=LCMWAU1DZcwLbqFeUtC2yA%3D%3D
,,,
to help with construction,A000067,1,https://www.digikey.com/en/products/detail/arduino/A000067/2639006?s=N4IgjCBcoLQBxVAYygMwIYBsDOBTANCAPZQDa4ADAKwUgC6Avg4QExkgCCF3FAbAOz0GQA
