Name,Vendor,Catalog Number,Size,Quantity in 1 WormBot,Quantity per package,fractional package per bot,Link,Notes,Amount Ordered,Order Number
Computing Equipment,,,,,,,,,,
"Lenovo Legion Y545 81T20002US 15.6"" Gaming Notebook - 1920 X 1080 - Core i7 i7-9750H - 8 GB RAM - 256 GB SSD - Black - Windows 10 Home 64-bit - NVIDIA GeForce GTX 1650 with 4 GB - in-Plane Switching",Amazon,B07QCLT7XG,N/A,1,,1,https://www.amazon.com/Lenovo-Legion-81T20002US-Gaming-Notebook/dp/B07QCLT7XG,,,1137307
WD - easystore 14TB External USB 3.0 Hard Drive - Black,Best Buy,6390390,14TB,1,,1,https://www.bestbuy.com/site/wd-easystore-14tb-external-usb-3-0-hard-drive-black/6390390.p?skuId=6390390,,,S2798346
"Powered USB Hub 3.0, Atolla 7-Port USB Data Hub Splitter with One Smart Charging Port and Individual On/Off Switches and 5V/4A Power Adapter USB Extension for MacBook, Mac Pro/Mini and More.",Amazon,B07G8CMR18,N/A,1,,1,https://www.amazon.com/dp/B07G8CMR18/ref=cm_sw_r_em_apa_i_LLGQEbKQG2ZGT,,,1137307
"USB 3.0 Extension Cable  9ft,Ruaeoda 9 Foot USB Power Extension Cable SuperSpeed USB 3.0 Type A Male to Female Extension Cord for Xbox,Printer,Playstation,USB Flash Drive,Card Reader,Hard Drive",Amazon,B07H1CCM1K,N/A,2,,2,https://www.amazon.com/AmazonBasics-Extension-Cable-Male-Female/dp/B00NH12O5I/ref=sr_1_4?dchild=1&keywords=9ft+usb+3+extension&qid=1628224961&s=electronics&sr=1-4,,,1137307
"LEDwholesalers 12V 20A 240W AC/DC Power Adapter with 5.5x2.5mm DC Plug and 2.1mm Adapter, Black, 3262-12V",Amazon,B074GGMD5J,N/A,1,,1,https://www.amazon.com/LEDwholesalers-Power-Adapter-5-5x2-5mm-3262-12V/dp/B074GGMD5J,,,1137307
"DC Power Cable 12V 5A Plugs Male Female Connectors for CCTV Security Camera Pigtail Power Adapter Connectors (5.5mm x 2.1mm, 10 Pairs)",Amazon,B07C7VSRBG,N/A,0.5,10,0.5,https://www.amazon.com/dp/B07C7VSRBG/ref=cm_sw_r_em_apa_i_yGL9EbRA40PWC,,,1137307
3 button mouse,amazon,,,1,,1,https://www.amazon.com/AmazonBasics-3-Button-Wired-Computer-1-Pack/dp/B005EJH6RW/ref=sr_1_1_sspa?dchild=1&keywords=3+button+mouse&qid=1628226323&sr=8-1-spons&psc=1&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUExMllPSUJXN0ZFRkJHJmVuY3J5cHRlZElkPUEwNTgzMTMyM0hMSDNGSENaNDlPNyZlbmNyeXB0ZWRBZElkPUEwNDgyOTg2MVZXTkg3VDRNSjQ3TiZ3aWRnZXROYW1lPXNwX2F0ZiZhY3Rpb249Y2xpY2tSZWRpcmVjdCZkb05vdExvZ0NsaWNrPXRydWU=,,,
,,,,,,,,,,
,,,,,,,,,,
Motors/Fans/Sensors,,,,,,,,,,1137307
